# Master index vocabulary. Edit freely: delete rows, rename keys,
# add aliases (';'-separated). '!' = subentry, '@' = sort key,
# 'SEE:<target>' in the alias column makes a cross-reference entry.
# Then run: python3 tools/apply_index.py
three-particle quantisation condition	generalised to three particle systems;Three and more particle interactions	
topological susceptibility	topological susceptibility;\chi_\infty	ch13
topology!lattice U(1) gauge fields	classification of all topologies of lattice U(1) gauge fields	
toron configuration	toron configuration	
trace estimation!dilution	dilution	ch13
trace estimation!hierarchical probing	hierarchical probing	ch13
trace estimation!Hutchinson	Hutchinson trace estimation	ch13
transfer matrix	transfer matrix;transfer matrix operator;positive operator	QM and scalar-field constructions
transfer operator	transfer operator;transfer matrix	ch13; spectral decomposition of correlators
transport properties	transport properties;Transport Properties	ch12
triviality	no continuum limit	term "triviality" absent; λ_R≠0 admits no continuum limit
twisted Schrödinger functional scheme	twisted Schr\"odinger-functional scheme;twisted Schr\"odinger functional scheme;defines a twist	hyphenated in ch. 17, unhyphenated in ch. 18
twisting	twisting of the variables;twisted rotation group;twisting technique	see also orbifolding
UA1@$U_A(1)$ symmetry	U_{A}(1);Global axial rotations	
UA1@$U_A(1)$ restoration	U_A(1);Axial symmetry restoration	ch12; sort key UA1; pion-$a_1$ degeneracy
universality	universality	
vacuum expectation value (vev)	vev;vacuum matrix elements	from τ→∞ limit of traces
vacuum polarisation	vacuum polarisation	relevant for $(g-2)_\mu$
variational method	variational approach;variational methods	ch13
vertex function	vertex functions;two-point vertex function;4-point vertex;vertex function	
viscosity!bulk	sheer and bulk viscosities;bulk	ch12; same anchor as shear
viscosity!shear	sheer and bulk viscosities	ch12; text misspells "shear" as "sheer"
volume averaging	volume averaging	ch13
Voronoi tessellation	Voroni tessellation	source spelling "Voroni" (sic)
walking technicolour	walking technicolour;walking coupling	
wave functional	wave functional	
Wess-Zumino model	Wess-Zumino Model;WZ model;S_\text{WZ}	
Wick contractions	Wick contractions	ch13; proton example, factorial growth
Wick rotation	SEE:path integral!Euclidean	term "Wick rotation" absent from text; see-only entry anchored at t→−iτ
Wiener measure	Wiener measure	rigorous definition of Euclidean path integral
Wightman axioms	Wightman axioms	
Wilson coefficients	Wilson coefficients	
Wilson flow	Wilson flow;``Wilson flow''	ch09 (stub chapter);ch12 scale-setting mention
Wilson gauge action	Wilson gauge action;Wilson action;Wilson's original formulation	
Wilson line	Wilson line	
Wilson loop	Wilson loops;Wilson loop	subentries could split observables vs strong-coupling uses
Wilson term	Wilson term;The Wilson term breaks gauge invariance;regular Wilson term removing doublers	momentum-dependent mass for doublers
Witten-Veneziano formula	Witten-Veneziano formula;$\eta'$ mass	ch13
Yang-Mills action	Yang Mills;\mathcal{L}_{YM}	text spells "Yang Mills" unhyphenated; anchor at ch04 section opening
zero mode, removal of	remove the zero mode;boundary fields remove the zero mode	
zero modes (of Dirac operator)	zero modes;zero mode	chirality eigenstates
zeta function, three-dimensional	$3D$ zeta function	
